ROS Processes Log
iteration: 22 ; CPU: .28% ; MEM: .60 
iteration: 267 ; CPU: 27.47% ; MEM: 4270.01 
iteration: 268 ; CPU: 27.60% ; MEM: 4270.01 
iteration: 269 ; CPU: 27.75% ; MEM: 4270.01 
iteration: 270 ; CPU: 27.89% ; MEM: 4270.01 
iteration: 271 ; CPU: 27.99% ; MEM: 4270.01 
iteration: 272 ; CPU: 27.24% ; MEM: 4270.01 
iteration: 273 ; CPU: 27.37% ; MEM: 4270.01 
iteration: 274 ; CPU: 27.50% ; MEM: 4270.01 
iteration: 275 ; CPU: 27.62% ; MEM: 4270.01 
iteration: 276 ; CPU: 27.75% ; MEM: 4270.01 
iteration: 277 ; CPU: 27.86% ; MEM: 4270.27 
iteration: 278 ; CPU: 27.99% ; MEM: 4270.27 
iteration: 279 ; CPU: 27.24% ; MEM: 4270.27 
iteration: 280 ; CPU: 27.37% ; MEM: 4270.27 
iteration: 281 ; CPU: 27.46% ; MEM: 4270.27 
iteration: 282 ; CPU: 27.57% ; MEM: 4270.53 
iteration: 283 ; CPU: 27.68% ; MEM: 4270.53 
iteration: 284 ; CPU: 27.79% ; MEM: 4270.53 
iteration: 285 ; CPU: 27.93% ; MEM: 4270.53 
iteration: 286 ; CPU: 28.01% ; MEM: 4270.53 
iteration: 287 ; CPU: 27.29% ; MEM: 4270.53 
iteration: 288 ; CPU: 27.42% ; MEM: 4270.53 
iteration: 289 ; CPU: 27.54% ; MEM: 4270.53 
iteration: 290 ; CPU: 27.64% ; MEM: 4270.53 
iteration: 291 ; CPU: 27.76% ; MEM: 4270.53 
iteration: 292 ; CPU: 27.86% ; MEM: 4270.53 
iteration: 293 ; CPU: 27.99% ; MEM: 4270.53 
iteration: 294 ; CPU: 27.27% ; MEM: 4270.53 
iteration: 295 ; CPU: 27.38% ; MEM: 4270.53 
iteration: 296 ; CPU: 27.48% ; MEM: 4270.53 
iteration: 297 ; CPU: 27.60% ; MEM: 4270.78 
iteration: 298 ; CPU: 27.72% ; MEM: 4270.78 
iteration: 299 ; CPU: 27.82% ; MEM: 4270.78 
iteration: 300 ; CPU: 27.95% ; MEM: 4271.23 
iteration: 301 ; CPU: 27.24% ; MEM: 4271.23 
iteration: 302 ; CPU: 27.32% ; MEM: 4271.48 
iteration: 303 ; CPU: 27.44% ; MEM: 4271.48 
iteration: 304 ; CPU: 27.56% ; MEM: 4271.48 
iteration: 305 ; CPU: 27.65% ; MEM: 4271.48 
iteration: 306 ; CPU: 27.77% ; MEM: 4271.48 
iteration: 307 ; CPU: 27.86% ; MEM: 4271.48 
iteration: 308 ; CPU: 27.98% ; MEM: 4271.48 
iteration: 309 ; CPU: 27.31% ; MEM: 4271.48 
iteration: 310 ; CPU: 27.45% ; MEM: 4271.48 
iteration: 311 ; CPU: 27.53% ; MEM: 4271.48 
iteration: 312 ; CPU: 27.65% ; MEM: 4271.48 
iteration: 313 ; CPU: 27.75% ; MEM: 4271.48 
iteration: 314 ; CPU: 27.88% ; MEM: 4271.48 
iteration: 315 ; CPU: 27.99% ; MEM: 4271.74 
iteration: 316 ; CPU: 27.35% ; MEM: 4271.74 
iteration: 317 ; CPU: 27.43% ; MEM: 4271.74 
iteration: 318 ; CPU: 27.54% ; MEM: 4271.74 
iteration: 319 ; CPU: 27.66% ; MEM: 4271.74 
iteration: 320 ; CPU: 27.75% ; MEM: 4271.74 
iteration: 321 ; CPU: 27.87% ; MEM: 4271.74 
iteration: 322 ; CPU: 27.97% ; MEM: 4271.74 
iteration: 323 ; CPU: 27.31% ; MEM: 4272.00 
iteration: 324 ; CPU: 27.44% ; MEM: 4272.00 
iteration: 325 ; CPU: 27.55% ; MEM: 4272.00 
iteration: 326 ; CPU: 27.64% ; MEM: 4272.00 
iteration: 327 ; CPU: 27.73% ; MEM: 4272.00 
iteration: 328 ; CPU: 27.81% ; MEM: 4272.00 
iteration: 329 ; CPU: 27.94% ; MEM: 4272.00 
iteration: 330 ; CPU: 27.33% ; MEM: 4272.00 
iteration: 331 ; CPU: 27.44% ; MEM: 4272.00 
iteration: 332 ; CPU: 27.53% ; MEM: 4272.18 
iteration: 333 ; CPU: 27.64% ; MEM: 4278.37 
iteration: 334 ; CPU: 27.73% ; MEM: 4278.37 
iteration: 335 ; CPU: 27.84% ; MEM: 4278.37 
iteration: 336 ; CPU: 27.94% ; MEM: 4278.37 
iteration: 337 ; CPU: 28.05% ; MEM: 4278.37 
iteration: 338 ; CPU: 27.45% ; MEM: 4278.37 
iteration: 339 ; CPU: 27.55% ; MEM: 4278.37 
iteration: 340 ; CPU: 27.63% ; MEM: 4278.37 
iteration: 341 ; CPU: 27.73% ; MEM: 4278.37 
iteration: 342 ; CPU: 27.83% ; MEM: 4278.37 
iteration: 343 ; CPU: 27.94% ; MEM: 4278.37 
iteration: 344 ; CPU: 28.08% ; MEM: 4278.37 
iteration: 345 ; CPU: 27.45% ; MEM: 4278.37 
iteration: 346 ; CPU: 27.58% ; MEM: 4278.37 
iteration: 347 ; CPU: 27.65% ; MEM: 4278.37 
iteration: 348 ; CPU: 27.79% ; MEM: 4278.37 
iteration: 349 ; CPU: 27.86% ; MEM: 4278.37 
iteration: 350 ; CPU: 28.01% ; MEM: 4278.37 
iteration: 351 ; CPU: 28.14% ; MEM: 4278.37 
iteration: 352 ; CPU: 27.55% ; MEM: 4278.37 
iteration: 353 ; CPU: 27.67% ; MEM: 4278.37 
iteration: 354 ; CPU: 27.78% ; MEM: 4278.37 
iteration: 355 ; CPU: 27.92% ; MEM: 4278.37 
iteration: 356 ; CPU: 28.05% ; MEM: 4278.37 
iteration: 357 ; CPU: 28.19% ; MEM: 4278.37 
iteration: 358 ; CPU: 27.62% ; MEM: 4278.37 
iteration: 359 ; CPU: 27.72% ; MEM: 4278.37 
iteration: 360 ; CPU: 27.80% ; MEM: 4278.37 
iteration: 361 ; CPU: 27.93% ; MEM: 4278.37 
iteration: 362 ; CPU: 28.02% ; MEM: 4278.37 
iteration: 363 ; CPU: 28.13% ; MEM: 4278.37 
iteration: 364 ; CPU: 28.26% ; MEM: 4336.12 
iteration: 365 ; CPU: 29.05% ; MEM: 4352.82 
iteration: 366 ; CPU: 30.05% ; MEM: 4368.94 
iteration: 367 ; CPU: 31.37% ; MEM: 4394.48 
iteration: 368 ; CPU: 32.80% ; MEM: 4414.53 
iteration: 369 ; CPU: 34.00% ; MEM: 4421.35 
iteration: 370 ; CPU: 36.80% ; MEM: 4481.96 
iteration: 371 ; CPU: 40.20% ; MEM: 4532.05 
iteration: 372 ; CPU: 34.06% ; MEM: 4535.86 
iteration: 373 ; CPU: 35.23% ; MEM: 4568.43 
iteration: 374 ; CPU: 36.84% ; MEM: 4575.84 
iteration: 375 ; CPU: 37.33% ; MEM: 4589.89 
iteration: 376 ; CPU: 37.69% ; MEM: 4598.37 
iteration: 377 ; CPU: 38.03% ; MEM: 4604.58 
iteration: 378 ; CPU: 34.55% ; MEM: 4602.46 
iteration: 379 ; CPU: 34.99% ; MEM: 4614.64 
iteration: 380 ; CPU: 35.32% ; MEM: 4617.07 
iteration: 381 ; CPU: 35.47% ; MEM: 4617.07 
iteration: 382 ; CPU: 35.62% ; MEM: 4618.78 
iteration: 383 ; CPU: 35.80% ; MEM: 4618.78 
iteration: 384 ; CPU: 36.00% ; MEM: 4619.12 
iteration: 385 ; CPU: 33.60% ; MEM: 4619.38 
iteration: 386 ; CPU: 34.11% ; MEM: 4623.57 
iteration: 387 ; CPU: 34.34% ; MEM: 4624.01 
iteration: 388 ; CPU: 34.55% ; MEM: 4634.41 
iteration: 389 ; CPU: 34.85% ; MEM: 4640.93 
iteration: 390 ; CPU: 35.16% ; MEM: 4642.51 
iteration: 391 ; CPU: 35.44% ; MEM: 4642.59 
iteration: 392 ; CPU: 33.61% ; MEM: 4658.14 
iteration: 393 ; CPU: 33.75% ; MEM: 4658.27 
iteration: 394 ; CPU: 33.90% ; MEM: 4658.27 
iteration: 395 ; CPU: 34.05% ; MEM: 4658.34 
iteration: 396 ; CPU: 34.18% ; MEM: 4658.39 
iteration: 397 ; CPU: 34.33% ; MEM: 4658.39 
iteration: 398 ; CPU: 34.44% ; MEM: 4654.05 
iteration: 399 ; CPU: 33.06% ; MEM: 4654.05 
iteration: 400 ; CPU: 33.19% ; MEM: 4655.72 
iteration: 401 ; CPU: 33.33% ; MEM: 4655.72 
iteration: 402 ; CPU: 33.43% ; MEM: 4655.72 
iteration: 403 ; CPU: 33.56% ; MEM: 4655.72 
iteration: 404 ; CPU: 33.66% ; MEM: 4655.72 
iteration: 405 ; CPU: 33.87% ; MEM: 4664.48 
iteration: 406 ; CPU: 32.76% ; MEM: 4666.03 
iteration: 407 ; CPU: 32.89% ; MEM: 4666.16 
iteration: 408 ; CPU: 33.03% ; MEM: 4666.42 
iteration: 409 ; CPU: 33.14% ; MEM: 4666.42 
iteration: 410 ; CPU: 33.25% ; MEM: 4666.42 
iteration: 411 ; CPU: 33.35% ; MEM: 4666.42 
iteration: 412 ; CPU: 33.47% ; MEM: 4666.42 
iteration: 413 ; CPU: 32.44% ; MEM: 4666.42 
iteration: 414 ; CPU: 32.57% ; MEM: 4666.42 
iteration: 415 ; CPU: 32.65% ; MEM: 4666.42 
iteration: 416 ; CPU: 32.75% ; MEM: 4666.42 
iteration: 417 ; CPU: 32.87% ; MEM: 4666.42 
iteration: 418 ; CPU: 32.97% ; MEM: 4666.42 
iteration: 419 ; CPU: 33.08% ; MEM: 4666.42 
iteration: 420 ; CPU: 32.21% ; MEM: 4666.42 
iteration: 421 ; CPU: 32.32% ; MEM: 4666.42 
iteration: 422 ; CPU: 32.45% ; MEM: 4666.42 
iteration: 423 ; CPU: 32.54% ; MEM: 4666.42 
iteration: 424 ; CPU: 32.66% ; MEM: 4666.42 
iteration: 425 ; CPU: 32.74% ; MEM: 4666.42 
iteration: 426 ; CPU: 31.95% ; MEM: 4666.42 
iteration: 427 ; CPU: 32.06% ; MEM: 4673.99 
iteration: 428 ; CPU: 32.17% ; MEM: 4673.99 
iteration: 429 ; CPU: 32.26% ; MEM: 4673.99 
iteration: 430 ; CPU: 32.40% ; MEM: 4673.99 
iteration: 431 ; CPU: 32.46% ; MEM: 4679.31 
iteration: 432 ; CPU: 32.60% ; MEM: 4684.87 
iteration: 433 ; CPU: 31.82% ; MEM: 4684.87 
iteration: 434 ; CPU: 31.95% ; MEM: 4684.87 
iteration: 435 ; CPU: 32.03% ; MEM: 4684.87 
iteration: 436 ; CPU: 32.15% ; MEM: 4684.87 
iteration: 437 ; CPU: 32.21% ; MEM: 4684.87 
iteration: 438 ; CPU: 32.34% ; MEM: 4684.87 
iteration: 439 ; CPU: 32.43% ; MEM: 4684.87 
iteration: 440 ; CPU: 31.74% ; MEM: 4684.87 
iteration: 441 ; CPU: 31.82% ; MEM: 4684.87 
iteration: 442 ; CPU: 31.94% ; MEM: 4685.08 
iteration: 443 ; CPU: 32.00% ; MEM: 4685.08 
iteration: 444 ; CPU: 32.10% ; MEM: 4685.08 
iteration: 445 ; CPU: 32.19% ; MEM: 4685.08 
iteration: 446 ; CPU: 32.26% ; MEM: 4685.28 
iteration: 447 ; CPU: 31.60% ; MEM: 4685.28 
iteration: 448 ; CPU: 31.72% ; MEM: 4685.28 
iteration: 449 ; CPU: 31.80% ; MEM: 4685.28 
iteration: 450 ; CPU: 31.89% ; MEM: 4685.28 
iteration: 451 ; CPU: 31.96% ; MEM: 4685.28 
iteration: 452 ; CPU: 32.05% ; MEM: 4685.28 
iteration: 453 ; CPU: 32.14% ; MEM: 4685.28 
iteration: 454 ; CPU: 31.52% ; MEM: 4685.41 
iteration: 455 ; CPU: 31.60% ; MEM: 4685.41 
iteration: 456 ; CPU: 31.67% ; MEM: 4685.41 
iteration: 457 ; CPU: 31.77% ; MEM: 4685.41 
iteration: 458 ; CPU: 31.85% ; MEM: 4685.41 
iteration: 459 ; CPU: 31.95% ; MEM: 4685.41 
iteration: 460 ; CPU: 31.36% ; MEM: 4685.41 
iteration: 461 ; CPU: 31.43% ; MEM: 4685.41 
iteration: 462 ; CPU: 31.50% ; MEM: 4685.41 
iteration: 463 ; CPU: 31.59% ; MEM: 4685.41 
iteration: 464 ; CPU: 31.66% ; MEM: 4685.41 
iteration: 465 ; CPU: 31.78% ; MEM: 4685.41 
iteration: 466 ; CPU: 31.83% ; MEM: 4685.41 
iteration: 467 ; CPU: 31.29% ; MEM: 4675.70 
iteration: 468 ; CPU: 31.37% ; MEM: 4675.70 
