ROS Processes Log
iteration: 393 ; CPU: 67.37% ; MEM: 8042.79 MB
iteration: 394 ; CPU: 66.35% ; MEM: 8042.79 MB
iteration: 395 ; CPU: 66.61% ; MEM: 8042.79 MB
iteration: 396 ; CPU: 66.84% ; MEM: 8042.79 MB
iteration: 397 ; CPU: 67.07% ; MEM: 8043.03 MB
iteration: 398 ; CPU: 67.39% ; MEM: 8043.03 MB
iteration: 399 ; CPU: 66.37% ; MEM: 8043.03 MB
iteration: 400 ; CPU: 66.61% ; MEM: 8043.03 MB
iteration: 401 ; CPU: 66.89% ; MEM: 8043.03 MB
iteration: 402 ; CPU: 67.15% ; MEM: 8043.03 MB
iteration: 403 ; CPU: 67.38% ; MEM: 8043.03 MB
iteration: 404 ; CPU: 67.65% ; MEM: 8043.03 MB
iteration: 405 ; CPU: 66.64% ; MEM: 8043.03 MB
iteration: 406 ; CPU: 66.91% ; MEM: 8043.03 MB
iteration: 407 ; CPU: 67.15% ; MEM: 8043.03 MB
iteration: 408 ; CPU: 67.36% ; MEM: 8043.03 MB
iteration: 409 ; CPU: 67.64% ; MEM: 8043.26 MB
iteration: 410 ; CPU: 66.64% ; MEM: 8043.26 MB
iteration: 411 ; CPU: 66.89% ; MEM: 8043.26 MB
iteration: 412 ; CPU: 67.15% ; MEM: 8043.26 MB
iteration: 413 ; CPU: 67.39% ; MEM: 8043.26 MB
iteration: 414 ; CPU: 67.63% ; MEM: 8043.26 MB
iteration: 415 ; CPU: 66.67% ; MEM: 8043.26 MB
iteration: 416 ; CPU: 66.94% ; MEM: 8043.26 MB
iteration: 417 ; CPU: 67.13% ; MEM: 8043.26 MB
iteration: 418 ; CPU: 67.40% ; MEM: 8043.26 MB
iteration: 419 ; CPU: 67.62% ; MEM: 8043.26 MB
iteration: 420 ; CPU: 67.85% ; MEM: 8043.24 MB
iteration: 421 ; CPU: 66.90% ; MEM: 8043.24 MB
iteration: 422 ; CPU: 67.14% ; MEM: 8043.24 MB
iteration: 423 ; CPU: 67.37% ; MEM: 8043.24 MB
iteration: 424 ; CPU: 67.58% ; MEM: 8043.24 MB
iteration: 425 ; CPU: 67.79% ; MEM: 8043.24 MB
iteration: 426 ; CPU: 66.90% ; MEM: 8043.50 MB
iteration: 427 ; CPU: 67.10% ; MEM: 8043.70 MB
iteration: 428 ; CPU: 67.32% ; MEM: 8043.70 MB
iteration: 429 ; CPU: 67.55% ; MEM: 8043.70 MB
iteration: 430 ; CPU: 67.80% ; MEM: 8043.89 MB
iteration: 431 ; CPU: 66.91% ; MEM: 8043.89 MB
iteration: 432 ; CPU: 67.14% ; MEM: 8043.89 MB
iteration: 433 ; CPU: 67.33% ; MEM: 8043.89 MB
iteration: 434 ; CPU: 67.54% ; MEM: 8043.89 MB
iteration: 435 ; CPU: 67.80% ; MEM: 8043.89 MB
iteration: 436 ; CPU: 66.85% ; MEM: 8044.15 MB
iteration: 437 ; CPU: 67.08% ; MEM: 8044.15 MB
iteration: 438 ; CPU: 67.31% ; MEM: 8044.15 MB
iteration: 439 ; CPU: 67.52% ; MEM: 8044.15 MB
iteration: 440 ; CPU: 67.73% ; MEM: 8044.15 MB
iteration: 441 ; CPU: 67.95% ; MEM: 8044.15 MB
